"","control.1","control.2","control.3","E2.treat.1","E2.treat.2","E2.treat.3"
"PNMA2",59.1826986442477,56.4322625887654,53.5186045121711,54.2588032087569,53.8904662999727,56.4485900812775
"PNMAL1",118.916574924297,122.420726154718,115.035820218271,118.911227196003,116.224305361484,114.276268426617
"PNN",221.642306796909,220.87855440452,237.520990775954,239.805447830007,218.728129985468,242.186704918396
"PNO1",67.4503631812788,68.0517342314811,59.8351043391367,59.4214240559669,66.2996656616281,55.5083026285077
"PNP",123.636033430853,132.049322593853,117.576151670421,121.099357886211,120.669869050325,111.110634002292
"PNPLA2",83.6067576307271,81.408696960958,86.9548590310002,92.3459530351937,89.2310985026254,90.04819506025
"PNPLA3",12.5737398167348,11.0041102161544,13.3539045254872,14.1544704022844,11.9934272180948,14.5744555179312
"PNPLA4",20.186880911251,21.2480680818507,18.3315810195634,16.9922023911482,18.0700970085962,16.6430879140246
"PNPLA6",75.3046444914584,79.4178217573774,79.7458103154415,75.4221297281145,76.6939692506436,81.3975504947683
"PNPLA7",3.44486022376296,2.64243436111602,3.12392111007541,3.72666008176087,2.84644005976117,3.85517855635599
"PNPLA8",60.732885744941,54.4051896542107,54.9947430586902,55.489626721999,52.1314303079855,51.1829803457669
"PNPO",93.7346466885902,95.4172188479703,92.4817963795951,93.3032602121598,91.6937488914075,87.6034476830486
"PNPT1",101.278890578631,92.7023890249059,95.5370598828557,90.465528223296,92.3973632882024,91.8347412205125
"PNRC1",67.0025313521896,59.9072447622879,63.5082863037309,59.4898031400359,58.3680124613948,62.5604585242809
"PNRC2",49.295949802048,45.9711183372239,45.9319389591308,46.8738621293042,43.3362503480493,44.2875390254554
"POC1A",45.6443979648593,46.2607001850175,42.0184553706846,46.4293980828556,45.4790760110155,42.4383070350082
"POC1B",24.6996478043804,21.5738476606185,19.2584587115638,21.8471173600477,20.6606772877047,21.5325826684273
"POC5",28.5234426527573,26.8587163828505,26.9824394782338,25.539587899774,25.7139079555953,25.3250753945987
"PODXL",90.7031696916788,99.6885511029249,105.59539928123,104.790946335753,105.925949190213,106.847997549736
"PODXL2",61.7318952098323,66.5676272615392,66.0829465592875,62.4642932970377,64.8604543954567,62.3097152035423
"POFUT1",197.769425446232,210.489805614927,216.168475056537,204.590219534468,213.227144701435,204.481178062329
"POFUT2",51.0528285161671,54.6223760400558,53.6902485292082,53.5750123680668,56.7688888323154,53.8471281286145
"POGK",135.899735827449,130.710006547808,133.676360468502,136.382083175634,135.445771383017,139.131200094831
"POGLUT1",32.278340296659,31.854003257289,31.4451839211986,33.5057511938133,32.302297307402,32.7846891865721
"POGZ",161.598393096721,151.740888243813,165.773791654441,170.024592537585,159.560555709533,182.854566648625
"POLA1",223.22694249984,217.693154078791,211.499757793128,216.488180162476,215.210058001493,216.140742476674
"POLA2",131.593660547745,129.334492770788,131.444988247019,129.74931202094,130.712365440943,130.76264176518
"POLB",30.6248073892527,32.3969692219019,28.0123035804564,31.2150518775016,31.4067880751176,27.1429644699535
"POLD1",126.701959030002,129.768865542479,132.886797990131,141.476324938775,128.409627415068,137.156596444015
"POLD2",113.577041577465,114.095248030653,108.513347570861,115.287135740345,112.386408651694,106.440539653536
"POLD3",84.2268324710044,82.8566061999256,83.1100330493689,83.4566721062228,79.9561814539654,78.8587743722899
"POLD4",19.0845256396468,19.7277633809347,18.4345674297857,18.3255945304938,19.3813783844412,17.5520324517021
"POLDIP2",255.436385592024,245.674000121842,250.668922480996,247.122009825391,256.595377522066,242.029990342934
"POLDIP3",181.096301963219,180.11990932758,176.621693531187,181.272951866937,184.378954432844,176.58598363016
"POLE",310.829737990132,312.820791078968,335.220765273477,340.732975915861,312.276862286607,351.354078184964
"POLE2",45.575500760384,39.8537018025855,42.4647298149811,40.001764180369,39.8181783640748,39.4607301012373
"POLE3",115.368368893822,116.556693736898,108.376032357232,104.756756793718,112.482356069439,102.99281899338
"POLE4",36.274378156224,33.555296613076,32.8183360574955,33.3006139416063,33.7095261009918,32.0324592243563
"POLG",142.686110468262,136.284457117833,148.849691574582,147.835579757193,142.609845241293,149.944505801683
"POLG2",13.1593660547745,13.755137770193,13.1479317050427,15.48786254163,13.6565157923373,16.0162296121781
"POLH",38.410191494957,37.500849289263,38.8258766537944,38.3948557047473,35.5964919833054,38.7398430541138
"POLI",35.2753686913327,32.0711896431342,34.0541729801627,36.4460518087806,29.6157696105488,36.2950956769125
"POLK",60.3195025180895,63.3822269358103,57.7753761346914,58.3615482528973,55.6495022919599,58.517222477371
"POLL",47.5046224856913,49.8442755514625,49.2961616930581,51.8313457243072,46.9182872771869,51.5904382419671
"POLM",17.3276469255277,19.220995147296,18.7435266604525,20.0692611742535,15.3515868391614,19.0564923761337
"POLN",7.33755227661511,6.8413711541223,7.89562478370708,8.34224825641883,6.7163192421331,9.30884578242055
"POLQ",74.1678406176166,65.2645089464683,71.403911087438,75.046044765735,69.6258428101131,80.018462230706
"POLR1A",153.916354797729,162.129637033406,163.370775415922,172.896514068484,170.434596387273,176.209868649052
"POLR1B",123.704930635328,120.429850951137,119.086619020347,128.962952554147,126.682573895663,121.359767237483
"POLR1C",30.3836671735893,31.6006191404697,28.7675372554197,29.2320584395004,28.5283655427749,26.8608782341226
"POLR1D",93.7690952908278,93.5349368373123,94.7818262078924,90.0210641768475,91.7577138365707,87.8541910037872
"POLR1E",37.5834250412539,40.8672382698628,40.74828964461,43.8651824302679,42.1528988625306,41.5607054124231
"POLR2A",760.6595860091,763.699728093504,806.520907253975,864.003916753936,864.326321517366,920.666787921957
"POLR2B",273.108518539928,270.541841301112,260.452631452111,261.173911601571,259.633712417316,255.883558813742
"POLR2C",82.0565705300338,84.2683177079191,80.8100032210716,80.3112342390485,82.4188318427476,76.16328367435
"POLR2D",110.752256193979,108.122622419912,106.65959218686,105.543116260512,109.124196448372,107.474855851583
"POLR2E",148.128989621807,149.315640268542,151.01240618925,155.494037172921,155.626711581998,147.311700933928
"POLR2F",54.0843055130785,47.9981912717787,48.0259959669835,48.8568555673054,48.9331830498268,49.0830050345811
"POLR2G",91.2543473274809,91.7250502886027,83.1100330493689,83.9695152367404,82.7066740959818,77.9498298346125
"POLR2H",42.7162667746607,42.0617633920112,40.5766456275729,42.0873262444737,39.2744763301878,38.8965576295754
"POLR2I",39.8570327889375,40.5414586910951,37.4183957140901,36.8563263131947,41.4173019931541,35.6055515448813
"POLR2J",24.0795729641031,22.6597795898442,22.4510374284541,24.2745748444974,25.042276031382,23.3191288286899
"POLR2J2",4.65056130208,4.70570502664497,4.22244281911292,5.40194764145154,5.14917808563537,5.54769597134154
"POLR2J3",1.13680387384178,0.796350081432225,0.995535298815241,0.957307176966095,1.11938654035552,1.41043117915463
"POLR2J4",3.51375742823822,2.85962074696117,2.84929068281603,2.73516336276027,3.45410703881131,3.51040649034041
"POLR2K",52.6030156168604,52.9210826842688,50.6349850259476,45.643038616062,47.7818140368897,44.0367957047168
"POLR2L",69.7928681334376,66.8210113783585,61.8605037401746,63.4899795580728,65.8199285729043,57.7649925151552
"POLR3A",151.263812425432,155.034881762465,154.170656102733,163.733716803237,167.204366656532,163.641359697029
"POLR3B",54.6354831488806,51.8713484860172,51.8021643418,51.3868816778586,54.9139054225834,49.9919495722585
"POLR3C",59.3204930531982,60.4502107269007,59.0112130573586,62.2249665027962,59.0396443856081,56.9187338076624
"POLR3D",23.3217037148753,24.2886774836829,22.5883526420837,23.6591630878764,23.1553101490684,24.3534450267366
"POLR3E",109.098723286573,106.63851544997,115.070149021679,120.689083381797,115.104918821129,116.407586652895
"POLR3F",38.6168831083828,38.9849562592049,35.5646403300893,37.0956531074362,36.6519135784977,35.480179884512
"POLR3G",9.95564604667496,8.54266450990933,8.17025521096646,9.36793451745393,7.99561814539654,10.4058478106519
"POLR3GL",24.6307505999052,25.0126321031667,22.7943254625283,22.7702349949793,23.1233276764868,19.5893219327032
"POLR3H",94.216927119917,92.6661912939317,91.2116306535205,102.807952897752,101.83219269977,97.758552172962
