"GeneName","rank"
"MPRIP",-3.10433300757679
"ORAI2",-3.10320810635885
"CCNO",-3.09744412881867
"ATXN2L",-3.09712336717089
"SORL1",-3.09519556066752
"CEP170B",-3.09411425478527
"MYO1E",-3.09204766260603
"USP34",-3.09115754630699
"PDZRN3",-3.08861571517424
"TAF3",-3.0777318648492
"FOXO1",-3.07309765629217
"MFSD12",-3.07268545973573
"BAZ1B",-3.07163759901291
"RAB11FIP4",-3.06685700832578
"POLR3A",-3.06476589385149
"ADARB1",-3.06403837862627
"SLCO2A1",-3.05898371254126
"MAML3",-3.05858198074785
"BMS1",-3.05579442894913
"RPRD2",-3.05349015978445
"ADCY9",-3.05261294464401
"FEM1A",-3.04527960440497
"NDST1",-3.03870667907567
"VPS13A",-3.03784553220057
"LOC90784",-3.03342994732467
"NIPBL",-3.02943623217758
"GATAD2B",-3.02693661214005
"TNRC6A",-3.02452271740758
"TCF20",-3.02364548208464
"KIAA0100",-3.0203427572541
"LOC646762",-3.01123644416611
"POM121C",-3.01052823607091
"RHOBTB3",-3.0071073053066
"SREBF2",-3.00035430969
"PIM3",-2.99438573073795
"WDR60",-2.98951661394612
"CHD1",-2.98638362476678
"SMPD4",-2.9859589835716
"LINC01061",-2.98396766508238
"ATM",-2.98209918220502
"SETBP1",-2.9783737133327
"TMEM104",-2.97405397851631
"PTPN23",-2.97373875581308
"NCLN",-2.96876472475296
"DHX37",-2.96463517682547
"DDI2",-2.96290770650462
"FLII",-2.96063330284699
"GOLGA3",-2.96055424754046
"FAM129A",-2.95734128988122
"IL1RAP",-2.94912043578146
"USP9X",-2.94867733213235
"PPP1R12B",-2.94747080454917
"MAP3K4",-2.94680669467489
"BRWD1",-2.94542943024577
"HTRA3",-2.93235083017518
"ZC3H7B",-2.92956470671422
"MLLT6",-2.92806552783072
"R3HDM1",-2.92614485203916
"SMCHD1",-2.92591691912254
"SLC25A23",-2.92041149847978
"WWC3",-2.91964082396056
"VPS53",-2.91040225020836
"SUPT6H",-2.91016132055136
"SMOX",-2.90013586741463
"TUBA1A",-2.89807140485004
"FBRSL1",-2.89568283771896
"CLN8",-2.88686695864616
"SHISA2",-2.88336909088486
"NUP210",-2.88307072422631
"CBX5",-2.88292510529998
"FAM222B",-2.88161792593025
"SF1",-2.86931786389751
"CMIP",-2.86774755023216
"PDCD11",-2.86511409726994
"C2CD3",-2.85830137635852
"GRIK4",-2.84883327054675
"GRK5",-2.84701236848024
"MED12",-2.84083460067675
"SAMD4A",-2.84005146535474
"ZNF236",-2.83361553438539
"GPRIN1",-2.83189277169439
"DCP1A",-2.83144233616817
"MAP3K9",-2.83010783034992
"BCL9",-2.82917431975974
"ATN1",-2.82667760047223
"INO80",-2.8204317150153
"DIDO1",-2.81395194376102
"SON",-2.78583020523463
"SRM",-2.78518406696177
"LAMC1",-2.78423223281751
"NCDN",-2.77543078515025
"DGKD",-2.77311039304905
"TJP3",-2.77184768171321
"CAMTA2",-2.7703241994213
"ASXL2",-2.7688732293851
"CYB561",-2.76876601682702
"KRI1",-2.76416969318079
"PPP2R2C",-2.7632747036915
"TTLL12",-2.76269833777724
"GMPPA",-2.76191307569417
"PELP1",-2.7592854313746
"DHX38",-2.75768323066661
"STK35",-2.7549058253593
"ZNF106",-2.75354992182082
"HDAC11",-2.74880341886324
"DOCK9",-2.74819401768446
"NUDT19",-2.74598409661942
"DMXL1",-2.73647198644494
"SLC29A1",-2.73512643506713
"GAREM2",-2.73506246438912
"SLC25A24",-2.73124759720946
"MLEC",-2.72766901285685
"HAP1",-2.72542098996626
"MPPED1",-2.72473659759008
"AFF4",-2.72317795335289
"POGZ",-2.72195778308498
"PLCL2",-2.72158094321667
"ANKRD10",-2.72085604348036
"PHIP",-2.72072874958358
"FBRS",-2.720335251566
"TP53I3",-2.71966110155079
"MYO10",-2.71867088251155
"NUP188",-2.71568820143054
"FNIP2",-2.71363536761413
"AARS2",-2.71103412571906
"DUSP7",-2.70736454493355
"SLC45A3",-2.70571522108891
"ASH1L",-2.70511764304097
"PROSER1",-2.70350020909565
"NCOA1",-2.70168711347445
"ELFN2",-2.69640622262494
"CCAR1",-2.69322672186848
"DLGAP4",-2.69125698580392
"KIF21B",-2.68830830982823
"ARMCX4",-2.6817055000194
"TET3",-2.67781657259776
"FAM120A",-2.6678617142736
"TUB",-2.6652837430384
"SBNO1",-2.66445769808552
"HIPK1",-2.65682500930744
"ADGRV1",-2.65566817485836
"BCORL1",-2.65251650569906
"BRI3BP",-2.65043406820202
"TBC1D4",-2.64987216438608
"EPB41",-2.64813164580402
"SIK1",-2.64373950146033
"ZNF512B",-2.64353466073026
"LPAR1",-2.63866803242956
"EHMT1",-2.63346263219853
"USP54",-2.63245042867129
"HIF1AN",-2.63189570331553
"JARID2",-2.62445366486687
"OTUD7B",-2.62429670933289
"MKL1",-2.62289594770182
"ACTB",-2.61955243210209
"SH3BP5",-2.61895578687491
"CELSR1",-2.61714126071436
"C10orf12",-2.61679439139892
"ANXA11",-2.61213544825373
"LTB4R",-2.60198035962077
"PNPLA2",-2.60153928817778
"REPS2",-2.59988589498071
"UNKL",-2.59729484258065
"SETD5",-2.59711538984479
"PDE4C",-2.5913348947102
"BRD1",-2.58934078907108
"IGDCC4",-2.58846885720264
"AP5B1",-2.58724291309645
"BNC2",-2.58590432238897
"KDM2A",-2.5835791614126
"MXD1",-2.5803006021141
"TEX15",-2.57748062229045
"HOMER2",-2.57302603444349
"CHAF1A",-2.56635606050676
"ABCC5",-2.56575423592188
"TBC1D9B",-2.56510325227679
"PHLDB1",-2.56195917876504
"LDB1",-2.5617507518383
"USP2",-2.56139044922794
"SLK",-2.56072901582277
"CCDC88A",-2.54778900149492
"BICD2",-2.54626565492766
"TTPAL",-2.54612054029932
"ADAMTS18",-2.54486913265665
"DHX33",-2.5445656904907
"PEAK1",-2.53934089150947
"NACC1",-2.53663386206209
"PRKCB",-2.53547720074566
"LRCH3",-2.53291984847199
"TNFRSF12A",-2.53202417028183
"FOXRED2",-2.5316221086009
"TRIP11",-2.52917750842402
"GLI3",-2.52886142056742
"RNF10",-2.52839625113974
"AMER1",-2.52730002657838
"FUT1",-2.5266574687528
"KIAA1671",-2.52665280033466
"MAST1",-2.52459501392517
"FGD3",-2.52351859210454
"MGC12916",-2.52341882260216
"ZNF516",-2.52341397919031
"MLH3",-2.52085480511559
"RGS19",-2.51942461160973
"VPS13B",-2.51941387488699
"IL12RB2",-2.51929299101245
"NBPF10",-2.51865635077648
"RAB11FIP3",-2.5179355022039
"PI4KA",-2.51616152304228
"RAB11FIP5",-2.51351395072673
"CAPN15",-2.51203638568136
"ARL3",-2.51074955549914
"MAP2K3",-2.50848084860783
"TNPO3",-2.50353951636245
"KANSL1",-2.50307595357129
"MAPK13",-2.49906029043475
"ALDH3B1",-2.49246935996834
"RHOF",-2.49172662785275
"LGALS9",-2.49130245662831
"MAPKAPK2",-2.48950535665735
"FUT4",-2.48919244393239
"SYNM",-2.48795549122231
"HIVEP3",-2.48686858033802
"TLN1",-2.48511129799853
"OSBP",-2.48317201055514
"MTHFD1L",-2.48201566850855
"CIZ1",-2.47879530249423
"SAMD4B",-2.47703338470638
"MYB",-2.47379350229772
"ATG2B",-2.47272786944375
"TCOF1",-2.47123047985448
"TMEM164",-2.47085979513837
"ZNF276",-2.47059055305288
"ADRBK2",-2.46890564043531
"FAM102A",-2.46248161312405
"CDC42BPA",-2.45863016711134
"CECR2",-2.45726550751737
"PRR5L",-2.45637303647994
"ATP13A1",-2.45036002611367
"PXDN",-2.44686865391314
"DICER1",-2.44245580129379
"SPIRE1",-2.4421669202048
"SHANK3",-2.44036963246362
"KDM5A",-2.43882210665864
"PLAGL2",-2.43663237031632
"MLLT4",-2.43424424079205
"TRAF3IP1",-2.43423180870137
"BLMH",-2.43343939617101
"PKIB",-2.42958951000618
"CARM1",-2.42580338023895
"NBEA",-2.42272875070833
"USP47",-2.42068443614344
"UTP20",-2.42044378964012
"SAFB",-2.41504867902014
"NKTR",-2.41404044341965
"SLC27A2",-2.41381286975519
"FBXL18",-2.41347022755701
"AASS",-2.40885496227096
"SPECC1L",-2.40675387563637
"PDXK",-2.40436447957814
"ABHD2",-2.40385000390198
"SEC63",-2.40296713620784
"ADAM12",-2.39743220618895
"GADD45G",-2.39652849196033
"MED15",-2.39478395213753
"ALX4",-2.39161698648632
"MYO18A",-2.3883616453187
"MCM3AP",-2.38791135476303
"TNKS",-2.38629906925931
"PLXND1",-2.38590394769701
"TBL1X",-2.38459387322353
"DSTYK",-2.3821497286521
"STK40",-2.37873573117097
"ILF3",-2.37234745518671
"GZF1",-2.37015435758638
"PTTG1IP",-2.36997410019109
"ZNF37BP",-2.36269907707008
"LINC00641",-2.35798296938351
"CDH4",-2.3568288804333
"ATP1A3",-2.35456414005592
"HNRNPUL2",-2.35246373139853
"MBD3",-2.34850347252298
"CTBP1",-2.34819188637142
"LSR",-2.34800734943529
"SYVN1",-2.34490276144243
"RPUSD1",-2.34437027496897
"GRIP2",-2.33910739956273
"HIRA",-2.33875872701522
"NOL4L",-2.33464430540213
"TAOK1",-2.33428628703589
"DNMT3A",-2.33321168161967
"EPG5",-2.32963781235324
"PKNOX2",-2.32625393676916
"HDLBP",-2.32468973225436
"ZNF335",-2.323763233337
"ATXN1L",-2.32174561278761
"NBEAL2",-2.31994971335218
"TFAP2C",-2.31865372246154
"RPAP1",-2.31726832526187
"CLEC16A",-2.31449928945875
